,zipcode,Total:,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
34,37216,17848,8877,435,421,240,190,242,17,60,316,1230,883,973,572,642,659,477,198,318,187,224,217,179,126,71,8971,618,373,203,228,79,83,82,300,1026,1108,783,500,467,475,725,183,431,202,276,243,183,198,205
35,37217,30146,15018,1348,1035,704,487,432,102,136,533,2017,1169,1348,1085,1311,757,723,325,312,129,308,356,297,47,57,15128,1067,1040,827,425,217,186,124,903,1567,1583,1176,898,950,860,862,445,420,269,551,265,291,149,53
36,37218,15721,7083,324,462,441,391,166,26,55,160,452,583,394,515,317,475,471,149,447,275,169,318,291,118,84,8638,536,345,349,486,143,26,30,243,630,504,567,674,653,605,454,333,291,305,366,385,352,178,183
37,37219,1154,737,0,0,0,0,0,0,0,201,96,34,59,89,42,35,19,37,50,56,19,0,0,0,0,417,0,0,0,0,0,0,0,0,39,67,32,0,0,170,0,0,70,0,39,0,0,0,0
38,37220,5880,2994,315,283,177,77,20,0,0,22,66,210,257,137,111,275,212,131,111,114,119,99,125,102,31,2886,217,89,176,51,99,0,0,76,45,194,311,160,143,255,231,138,148,47,80,78,141,79,128
39,37221,41017,19437,1508,1354,1002,730,294,111,104,874,1668,1488,1331,1239,1395,1388,1157,524,640,427,411,781,449,321,241,21580,1077,1031,954,584,223,194,302,646,1818,1756,1334,1326,1649,1557,1871,468,921,591,704,903,815,494,362
40,37228,1615,708,0,0,0,0,28,16,4,200,94,77,17,0,28,0,13,32,0,35,26,48,13,0,77,907,26,3,0,0,56,16,0,34,199,81,39,32,11,95,47,17,0,46,121,31,17,21,15
41,37240,796,332,0,0,0,0,181,108,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,323,88,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,37243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,37246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
